GISID,CALENDAR_YEAR,STATE_ROUTE,LOC_ROAD_NAME_RMS,INTERSECTION_FROM,SEGMENT_FROM,OFFSET_FROM,INTERSECTION_TO,SEGMENT_TO,OFFSET_TO,MUNICIPALITY_NAME1,MUNICIPALITY_NAME2,MUNICIPALITY_NAME3,LEG_DIST_1,LEG_DIST_2,LEG_DIST_3,SENATORIAL_DIST_1,SENATORIAL_DIST_2,CONG_DISTRICT,PLANNED,COUNTY,CNT_CODE,NLF_ID,NLF_B,NLF_E,PRIORITY,NOTES,SR,LIMITS_FROM,LIMITS_TO,MCD,BIKE_PROPOSED,BIKE_NOTES,BIKELTS_EXIST,BIKELTS_IMP,LTS_PRIORITY,PRIORITY_NOTES,PROPOSAL_SOURCE,PROJECTNUM,LETDATE,STARTWORK,CONSTRUCTIONRE,MCD_INTEREST,MCD_CONTACT,DVRPCSCREENING,PENNDOTSCREENING,DISMAINTENANCE,DATECOMMUNICATION,DATARECEIPT,DATEISSUANCE,DESIGNER,DATEASSIGNED,DATECOMPLTED,PENNDOTNOTS,COUNTYNOTES,BCGPNOTES,ISACTIVE,LASTUPDATE,SEG_REGI_PRIO,SEG_COUNTY_PRIO,SEG_PUB_PRIO,FACILITYIMP,PENNFEASISCREEN,PENNFEASISCREENNOTE,DATELETTER,OUTREACHNOTE,DVRPCNOTES,ADMINSELECTED,ALTERFUNDSTREAM,FUNDOPPORTNITY,FUNDNOTES,BATCHNUM,STRIPINGCOMPLETE,STRIPINGREVIEW,SIGNALREVISED,HASSIGNAGE,SIGNAGECOMPLETE,STRIPINGSHARE,OUTREACH_PRIORITIZED,SHORTCODE,LONGCODE,CHANGECODE,SOURCE,PROJECTECMS,ESTQUANTITIES,BFL_FROM,BFL_TO,SIGNALASSIGE,SIGNALCOMPLETED,NOTIFYCOUNTY
50,2019,4075,DURHAM RD,Durham Rd / SR 0212,0160,0,County Line Rd,0180,3045,DURHAM,,,143,,,24,,8,1.58,Bucks,9,2183,0,8351,0,,,,,,N/A," Roadway is too narrow for lanes, and speed limit (40 mph) is too high for sharrows.",0,0,N/A,,N/A,,,,,N/A, ,,,, ,,,,,, , Not part of Bucks County Bike Plan, ,No,2019-02-26 11:04:05,No,No,No,No,N/A,, , No outreach to municipality, ,Y,N/A,,,2019-2,N/A,N/A,N/A,N/A,,,N/A,407501600180,40750160000001803045,0,5-year plan 2019-2023,,,,,,,
2181,2021,3013,CHESTNUT ST,Providence Ave / SR 0320,10,0,Brookhaven Rd / SR 3003,30,3308,CHESTER CITY,NETHER PROVIDENCE,,,,,,,,1.41,Delaware,23,,,,10,,,,,,N/A," LTS: 3
AADT: ~8,000
Speed Limit: 35

Limited cross-section for bike lanes, and segment volumes/speeds/roadway curvature is slightly too high for sharrows.

",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, , , ,No,2020-05-31 14:29:49,Yes,Yes,Yes,No,N/A,,,,  Also trail/transit connectivity priority. ,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,301300100030,30130010000000303308,3,5-year plan 2020-2024,,,,,,,
57,2020,0202,BUCKINGHAM RD,696' S of Durham rd / SR 0413,0217,0,Street Rd,0221,360,BUCKINGHAM,,,029,,,10,,8,0.2,Bucks,9,74432,0,1056,0,,,,,,N/A," The roadway is wide enough for bike lanes in the existing shoulders, but a bike facility here would not connect to another safe road for cycling.",0,0,N/A,,N/A,,,,,N/A," Dana Cozza, Township Manager      dcozza@buckinghampa.org",,,, ,,,,,, , Identified as Primary On Road Connection in Bucks County Bicycle Plan, ,No,2019-09-06 12:06:52,No,Yes,No,No,N/A,, , No communication as of 8/9/19," The roadway is wide enough for bike lanes in the existing shoulders, but a bike facility here would not connect to another safe road for cycling.",Y,N/A,,,2020-1,N/A,N/A,N/A,N/A,,,N/A,020202170221,02020217000002210360,0,5-year plan 2019-2023,,,,,,,
66,2020,2037,LINCOLN HW,Bucks County Business P,0150,0,Tyburn Rd / SR 2020,0210,1445,MIDDLETOWN,FALLS,,142,140,,6,,8,3.0,Bucks,9,2046,7320,23183,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A, Peter Gray Email: p.gray@fallstwp.com; Stephanie Teoli Kuhls Email: steoli@middletownbucks.org,,,, ,,,,,, , Not sure this even needs to be evaluated based on being a major 4-land thoroughfare and obstacles such as bridges without shoulders which would limit the opportunity for dedicated bike lanes., ,No,2019-08-20 09:35:20,No,No,No,N/A,N/A,, ,  No communication as of 8/12/19, I concur with County notes. Safe bike facilities are not feasible as part of resurfacing.,Y,N/A,,,2020-1,N/A,N/A,N/A,N/A,,,N/A,203701500210,20370150000002101445,0,5-year plan 2019-2023,,,,,,,
441,2018,1046,WENTLINGS SCHOO,69' S of Papermill Rd,0064,0,Kutztown Rd / SR 1033,0080,3756,UPPER HANOVER,,,131,,,24,,8,1.35,Montgomery,46,7767,0,7127,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,104600640080,10460064000000803756,0,5-year plan 2019-2023,,,,,,,
2187,2023,1001,HAVERFORD RD,Manoa Rd / SR 1002,31,0,Mont. Co. Line,81,1880,RADNOR,HAVERFORD,,,,,,,,1.92,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,100100310081,10010031000000811880,3,5-year plan 2020-2024,,,,,,,
2188,2023,1014,HAVERFORD RD,Karakung Rd / SR 1001,10,0,County Line Rd / Mont. Co. Line,10,2008,HAVERFORD,,,,,,,,,0.38,Delaware,23,,,,0,,,,,,N/A," LTS: 4
Speed Limit: 35
AADT: estimated ~10,000
1 lane in each direction with parking on either side. Could remove on-street parking and add bike lanes in its place, but it is too short of a connection to really build a network or link anything- it would not be worthwhile.",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, , On County Bike Plan as tertiary route. This is extension of other Haverford Rd. resurfacing project. Road is wide enough for bike lanes and can provide bike access to remainder of Haverford Rd. road diet section if it includes bike lanes and to Norristown High Speed Line stations., ,No,2021-05-20 16:40:00,No,Yes,Yes,No,N/A,,,, LTS 4,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,101400100010,10140010000000102008,3,5-year plan 2020-2024,,,,,,,
2189,2023,1030,MEDIA LINE RD,Newtown St / SR 0252,10,0,West Chester Pk / SR 0003,40,804,MARPLE TOWNSHIP,,,,,,,,,1.59,Delaware,23,,,,20,,,,,,N/A," LTS: 3
AADT: 6,000
Speed limit: 25 east of Heather Rd. 35 (?) west of Heather Rd.

Lots of schools along/near this section including DelCo Community College and Marple Newtown HS. Sharrows are possible in the eastern section (would need to check truck vols), as well as a bikeable shoulder in the western section. But without a real connection to trails or parks, plus relatively hilly terrain, it is hard to recommend anything here.",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, ," Segment is a tertiary route on County Bike Plan. Road is generally wide enough for bike lanes. Segment would connect to Delaware County Community College, Marple-Newtown High School, and destinations along West Chester Pike.", ,No,2021-05-20 16:57:55,Yes,Yes,Yes,No,N/A,,,, Small portion in top 20%. Connection to trails.,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,103000100040,10300010000000400804,3,5-year plan 2020-2024,,,,,,,
2190,2023,2024,MARSHALL RD,Burmont Ave / SR 2007,10,0,Philadelphia Co. Line,60,3098,LANSDOWNE,UPPER DARBY,,,,,,,,1.91,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,202400100060,20240010000000603098,3,5-year plan 2020-2024,,,,,,,
347,2020,2005,LANSDOWNE AV,Cobbs Creek Bridge,0010,0,Garrett Rd / SR 2019,0080,1627,YEADON,LANSDOWNE,DARBY,191,164,,8,,1,3.4,Delaware,23,4274,0,17968,10,,,,,,Stripe bike lanes/sharrows as feasible,"Between Garrett Rd. and Plumstead Ave.: SL 35, AADT ~16000- the cross section is not symmetric due to parking on the east side of the roadway. Recrowning may be necessary to shift the centerline and install bike lanes in both directions if parking can be removed to make space for the bike lane. 

Between Plumstead Ave. and Stewart Ave.: SL 25, AADT ~14000- bike lanes suitable cross-section wise, but volumes are high. If percent truck traffic is low, conventional bike lanes may be excusable here as opposed to buffered or separated. 

Between Stewart Ave. and Madison Ave.: SL 25, AADT ~14000- parking and turn lanes make bike lanes through here difficult. Volumes too high for sharrows.

Between Madison Ave. and Fairview Ave.: Stripe bike lanes/sharrows as feasible from the intersection of Lansdowne Ave. & Madison Ave. to at least Fairview Ave. Identified during DVRPC Safe Routes to Transit technical assistance. Lansdowne Borough is reaching out to neighboring municipalities to discuss potentially extending the limits of the bike lane.

Between Fairview Ave. and Cobbs Creek Pkwy.: SL 25, AADT ~13000-  trolley route and/or on-street parking limit cross section for buffered bike lanes. ",0,0,N/A,,N/A, 6-19-D11, 3/12/20, ,,Yes, Craig Tatro,,,,05/01/2019,06/11/2019, 06/11/19,,, ,Bike lanes & sharrows, , This route measures medium high to high on our Community Impact Index.,Yes,2021-09-10 10:50:01,Yes,Yes,Yes,Yes,Yes, ,06/07/2019,Lansdowne: Craig worked with Cassidy on a SRTT project where the idea of a bike lane in Lansdowne Ave was raised. They are interested in taking advantage of the resurfacing opportunity. There may or may not be a need to deal with a left turn lane to Scottsdale - depends on the town's decision about converting it to a one way street. Delaware County requested traffic counts to see if this would be a reasonable thing to do. ,"Included in Delaware County Bike Survey project. Part of East Lansdowne SRTT project (see Cassidy).

***1/12/21*** Delayed; now planned for 2021 paving",Y,N/A,,,2020-1,RKK,In Progress,N/A,N/A,,,Yes,200500100080,20050010000000801627,0,5-year plan 2019-2023, 113946,2020-01-15 00:00:00, Fairview Avenue, Baltimore Avenue (SR 2016), , ,
