GISID,"	SOURCE","	ADMINSELECTED","	CALENDAR_YEAR","	STATE_ROUTE","	LOC_ROAD_NAME_RMS","	INTERSECTION_FROM","	segment_from_to","	municipality1",  municipality2,  municipality3," 	DVRPC Regional Priority","	County Priority","	Public Priority","	DVRPC Feasible","	Send to PennDOT","	PennDOT Feasibly", Capacity Analysis Needed,"	Prioritized for Outreach", confirm municipal interest,"	Date of initial contact with muni","	Date letter was received","	Striping plan complete","	Date of completion","	Before/After Counts", For Initial Screening,"	For DVRPC to Screen for Feasiblity","	Pending Review", For PennDOT to Screen for Feasibility, Outreach Prioritization,"	To begin municipal outreach","	Waiting for municipal letter","	Municipal letter received/Needs striping plan","	Approved striping plan shared with maintenance staff","	Completed Projects", Pending Capacity Analysis,"	Beyond scope of resurfacing", Admin Selected, 
18,5-year plan 2019-2023,Y,2019,32,RIVER RD,Lincoln Hwy / SR 0001,0010_0090,MORRISVILLE,LOWER MAKEFIELD,FALLS,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,5-year plan 2019-2023,Y,2019,32,BRIDGE ST,Lincoln Hwy / SR 0001,0011_0011,FALLS,,,Yes,Yes,No,Yes,Yes,Yes,N/A,No,No, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,5-year plan 2019-2023,N,2019,32,MAIN ST,Windy Bush Rd / SR 0232,0350_0350,NEW HOPE,,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,5-year plan 2019-2023,N,2019,32,RIVER RD,Trib. Of Delaware River / Bridge / Culvert,0510_0520,TINICUM,PLUMSTEAD,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,5-year plan 2019-2023,N,2019,113,SOUDERTON RD,County Line Rd / SR 4027,0010_0010,HILLTOWN,,,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,5-year plan 2019-2023,N,2019,113,SOUDERTON RD,County Line Rd / SR 4027,0011_0011,HILLTOWN,,,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,5-year plan 2019-2023,N,2019,152,LIMEKILN PK,County Line Rd / SR 2038,0010_0060,CHALFONT,WARRINGTON,NEW BRITAIN,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,5-year plan 2019-2023,N,2019,152,LIMEKILN PK,County Line Rd / SR 2038,0033_0041,WARRINGTON,NEW BRITAIN,,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,5-year plan 2019-2023,Y,2019,232,SECOND STREET P,County Line Rd / SR 2038,0010_0050,UPPER SOUTHAMPTON,,,No,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,4/5/2019,6/5/2019,N/A, Oct 2019,N/A,0,0,0,0,0,0,0,1,0,1,0,1,0,
27,5-year plan 2019-2023,Y,2020,513,HULMEVILLE RD,Galloway Rd / SR 2023,0070_0140,PENNDEL,HULMEVILLE,MIDDLETOWN,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,4/5/2019,7/4/2019,In Progress,5/28/2021,N/A,0,0,0,0,0,0,0,0,0,1,0,0,0,
