project_num,sr,name,gisids,status
4,1008,Fretz Rd,,Not Evaluated
5,1015,Kinsey Rd,,Not Evaluated
6,1023,Whites Mill Rd,,Not Evaluated
7,1027,Little Rd,,Not Evaluated
8,1036,Finland Rd,,Not Evaluated
9,1048,Congo Rd,,Not Evaluated
10,2027,Mount Carmel Ave,,Not Evaluated
11,2028,Camp Hill Rd,,Not Evaluated
12,2029,Old Welsh Rd,,Not Evaluated
13,2031,Knapp Rd,,Not Evaluated
14,2037,Pennsylvania Ave,,Not Evaluated
15,2060,New Second St.,,Not Evaluated
16,3016,Matsonford Rd,,Not Evaluated
17,3027,Crooked Ln,,Not Evaluated
18,4008,Yerkes Rd,,Not Evaluated
19,4017,Linfield Trappe,,Not Evaluated
20,4030,New Hanover Sq,,Not Evaluated
21,4036,Armand Hammer Bl.,,Not Evaluated
22,4048,Lewis Rd,,Not Evaluated
