project_num,SR_name,from,to,scope,miles,muni,adt,sr,name,muni1,muni2,muni3,fsegment,foffset,tsegment,toffset
1,SR 2009 Springfield Rd,Netherwood Dr.,Sproul Rd / SR 0320,"Mill & 1 1/2"" Overlay",2.48,"Marple, Springfield","18,843",2009,Springfield Rd,Marple, Springfield,,80,0,130,1670
2,SR 2013 Clifton Ave,Hook Rd / SR 2015,Springfield Rd / SR 2009,"Mill & 1 1/2"" Overlay",2.26,"Sharon Hill B., Collingdale, Aldan","9,000",2013,Clifton Ave,Sharon Hill B., Collingdale, Aldan,10,0,60,2830
3,SR 2016 Baltimore Pk,0061/0000 Providence Rd / SR 0252,0141/3461 Oak Ave / SR 2015,"Mill & 1 1/2"" Overlay",4.36 4.35,"Swarthmore, Morton, Media","34,000",2016,Baltimore Pk,Swarthmore, Morton, Media,40,0,140,3471
3,SR 2016 Baltimore Pk,Providence Rd / SR 0252,Oak Ave / SR 2015,"Mill & 1 1/2"" Overlay",4.35,"Swarthmore, Morton, Media","34,000",2016,Baltimore Pk,Swarthmore, Morton, Media,61,0,141,3461
4,SR 2031 Sellers Ave,Fairmount Rd,Ward Ave / Ridley Ave / SR 2004,"Mill & 1 1/2"" Overlay",0.64,"Ridley Park, Ridley","9,300",2031,Sellers Ave,Ridley Park, Ridley,,34,0,40,2186
5,SR 2037 Crum Creek Rd,Beatty Rd / SR 2018,State Rd / SR 1008,"Mill & 1 1/2"" Overlay",1.09,"U. Providence, Nether Providence",328,2037,Crum Creek Rd,U. Providence, Nether Providence,,10,0,20,2785
6,SR 3010 Bethel Ave/Concord Road,Ramp A,Ramp Road,"Mill & 1 1/2"" Overlay",1.26,Chester City,"7,121",3010,Chester City,Chester,Upper Chichester,,10,0,30,530
7,SR 3013 Chestnut St,Providence Rd / SR 0320,Brookhaven Rd / SR 3003,"Mill & 1 1/2"" Overlay",1.41,"Chester City, Nether Providence","7,688",3013,Chestnut St,Chester City, Nether Providence,,10,0,30,3308
8,SR 3014 Mill Rd,Naamans Creek Rd / SR 0491,Bethel Rd / SR 3017,"Mill & 1 1/2"" Overlay",0.6,U. Chichester,"2,328",3014,Mill Rd,U. Chichester,,,10,0,10,3167
9,SR 3016 Larkin Rd,Naamans Creek Rd / SR 0491,Ramp A1 Rd / SR 0322,"Mill & 1 1/2"" Overlay",1.99,U. Chichester,"8,509",3016,Larkin Rd,U. Chichester,,,10,0,60,1860
10,SR 4005 Darlington Road/New Darlington Road/Valley Rd,Baltimore Pike/ SR 0001,Middletown Road/SR 0352,"Mill & 1 1/2"" Overlay",3.51,"Chester Heights, Middletown, Edgemont","2,216",4005,Darlington Road,Chester Heights,Middletown,Edgemont,10,0,60,1801
