project_num,SR_name,from,to,scope,miles,muni,adt,sr,name,muni1,muni2,muni3,fsegment,foffset,tsegment,toffset
1,SR 0001 City Ave,Mont. Co. Line / Haverford Av / SR 3043,City Line Br. / SR 4006,"Mill & 1 1/2"" Overlay",3.91,PHILADELPHIA,"20,747",1,City Ave,PHILADELPHIA,,,10,0,80,1210
1,SR 0001 City Ave,Mont. Co. Line / Haverford Av / SR 3043,City Line Br. / SR 4006,"Mill & 1 1/2"" Overlay",3.9,PHILADELPHIA,"20,747",1,City Ave,PHILADELPHIA,,,11,0,81,1152
2,SR 0003 MARKET ST,Delaware Co. Line,63rd St. / SR 3015,"Mill & 1 1/2"" Overlay",0.05,PHILADELPHIA,"12,598",3,MARKET ST,PHILADELPHIA,,,11,0,11,252
2,SR 0003 MARKET ST,0011/0000 Delaware Co. Line,0011/0252 63rd St. / SR 3015,"Mill & 1 1/2"" Overlay",0.04 0.05,PHILADELPHIA,"12,598",3,MARKET ST,PHILADELPHIA,,,10,0,10,235
3,SR 0003 Chestnut St,Cobbs Creek Pkwy / SR 0003 / SR 3015,34th St,"Mill & 1 1/2"" Overlay",3.09,PHILADELPHIA,"17,316",3,Chestnut St,PHILADELPHIA,,,30,0,80,1871
4,SR 0030 Lancaster Ave,City Ave / SR 0001,W. Girad Ave,"Mill & 1 1/2"" Overlay",2.21,PHILADELPHIA,"13,335",30,Lancaster Ave,PHILADELPHIA,,,10,0,40,3047
5,SR 1007 Tacony St,Adams Ave,Aramingo Ave,"Mill & 1 1/2"" Overlay",0.85,PHILADELPHIA,"7,561",1007,Tacony St,PHILADELPHIA,,,10,700,20,1580
6,SR 1011 Welsh Rd,0071/0000 Ashton Rd,0101/1712 Kismet Rd,"Mill & 1 1/2"" Overlay",3.04 1.79,PHILADELPHIA,"17,126",1011,Welsh Rd,PHILADELPHIA,,,30,0,100,1719
6,SR 1011 Welsh Rd,Ashton Rd,Kismet Rd,"Mill & 1 1/2"" Overlay",1.79,PHILADELPHIA,"17,126",1011,Welsh Rd,PHILADELPHIA,,,71,0,101,1712
7,SR 2014 Lehigh Ave,0051/0000 Ridge Ave / SR 3009,0091/2437 Richmond St / SR 2001,"Mill & 1 1/2"" Overlay",4.48 1.94,PHILADELPHIA,"9,753",2014,Lehigh Ave,PHILADELPHIA,,,10,0,100,2152
7,SR 2014 Lehigh Ave,Ridge Ave / SR 3009,Richmond St / SR 2001,"Mill & 1 1/2"" Overlay",1.94,PHILADELPHIA,"9,753",2014,Lehigh Ave,PHILADELPHIA,,,51,0,91,2437
8,SR 2016 Allegheny Ave,Ridge Ave / SR 3009,Delaware Ave / SR 1005,"Mill & 1 1/2"" Overlay",5.59,PHILADELPHIA,"14,757",2016,Allegheny Ave,PHILADELPHIA,,,10,0,110,3324
9,SR 3003 26th Steet,0011/0000 Penrose Ave / SR 0291,0041/3272 Bridge over Schuylkill River,"Mill & 1 1/2"" Overlay",1.92 1.92,PHILADELPHIA,"23,892",3003,26th Steet,PHILADELPHIA,,,10,0,40,3241
9,SR 3003 26th Steet,Penrose Ave / SR 0291,Bridge over Schuylkill River,"Mill & 1 1/2"" Overlay",1.92,PHILADELPHIA,"23,892",3003,26th Steet,PHILADELPHIA,,,11,0,41,3272
10,SR 3010 Market St,S. 63rd St / SR 0003,Schuylkill Ave,"Mill & 1 1/2"" Overlay",3.52,PHILADELPHIA,"14,958",3010,Market St,PHILADELPHIA,,,11,0,81,1641
10,SR 3010 Market St,S. 63rd St / SR 0003,Schuylkill Ave,"Mill & 1 1/2"" Overlay",3.52,PHILADELPHIA,"14,958",3010,Market St,PHILADELPHIA,,,10,0,80,1640
10,SR 3010 Market St,S. 63rd St / SR 0003,Schuylkill Ave,"Mill & 1 1/2"" Overlay",0.68,PHILADELPHIA,"14,958",3010,Market St,PHILADELPHIA,,,100,0,110,2268
10,SR 3010 Market St,S. 63rd St / SR 0003,Schuylkill Ave,"Mill & 1 1/2"" Overlay",0.25,PHILADELPHIA,"14,958",3010,Market St,PHILADELPHIA,,,101,0,101,1320
11,SR 3029 15th Street,Penn Square / SR 3022,Vine St / SR 2676,"Mill & 1 1/2"" Overlay",0.33,PHILADELPHIA,"17,293",3029,15th Street,PHILADELPHIA,,,11,0,11,1726
