project_num,sr,name,gisids,status
5.0,1010,Swedesford Rd,,Not Evaluated
6.0,1036,Pothouse Rd,,Not Evaluated
7.0,2007,Westtown Rd,,Not Evaluated
8.0,2019,Newtown Rd,,Not Evaluated
9.0,3002,Chrome Rd,,Not Evaluated
10.0,3004,State Rd,,Not Evaluated
11.0,3019,Spring Mill Rd,,Not Evaluated
12.0,3021,Parkersville Rd,,Not Evaluated
13.0,3038,Burnt Mill Rd,,Not Evaluated
14.0,3056,Doe Run Station Rd,,Not Evaluated
15.0,3057,Bradford Ave,,Not Evaluated
16.0,3061,Quarry Rd,,Not Evaluated
17.0,4017,Rock Raymond Rd,,Not Evaluated
