index,project_num,SR_name,from,to,scope,miles,muni,adt,sr,name,muni1,muni2,muni3,fsegment,foffset,tsegment,toffset,GISID,	STATE_ROUTE,	LOC_ROAD_NAME_RMS,	ADMINSELECTED,	CALENDAR_YEAR,	municipality1,  municipality2,  municipality3,	segment_from_to,fseg,tseg,status
0,1.0,SR 0013 SECOND ST,Penn St.,Chester Creek Bridge,"Mill, Leveling & 1 1/2"" Overlay",0.04,CHESTER CITY,"8,205 10,367",0013,SECOND ST,CHESTER CITY,,,0092,1721,0092,1956,2106.0,13,NINTH ST,Y,2021.0,TRAINER,MARCUS HOOK,CHESTER CITY,0010_0120,0010,0120,"Reviewed, not pursued"
10,1.0,SR 0013 SECOND ST,Penn St.,Chester Creek Bridge,"Mill, Leveling & 1 1/2"" Overlay",0.04,CHESTER CITY,"8,205 10,367",0013,SECOND ST,CHESTER CITY,,,0103,0396,0103,0631,2106.0,13,NINTH ST,Y,2021.0,TRAINER,MARCUS HOOK,CHESTER CITY,0010_0120,0010,0120,"Reviewed, not pursued"
11,2.0,SR 0202 WILMINGTON PK,Delaware State Line,Baltimore Pk / SR 0001,"Mill & 1 1/2"" Overlay",2.99,CONCORD CHADDS FORD BETHEL,"23,635 24,325",0202,WILMINGTON PK,CONCORD CHADDS FORD BETHEL,,,0011,0000,0081,3190,2412.0,202,WILMINGTON PK,Y,2023.0,CONCORD,CHADDS FORD,,0011_0081,0011,0081,"Reviewed, not pursued"
12,3.0,SR 0352 EDGMONT AV,Ninth St / SR 0013,Ridge Blvd.,"Mill & 1 1/2"" Overlay",0.46,PARKSIDE BROOKHAVEN CHESTER CITY,"14,258",0352,EDGMONT AV,PARKSIDE BROOKHAVEN CHESTER CITY,,,0041,000,0041,2447,,,,,,,,,,,,
2,3.0,SR 0352 EDGMONT AV,0041/000 Ninth St / SR 0013,0041/2447 Ridge Blvd.,"Mill & 1 1/2"" Overlay",2.23 0.46,PARKSIDE BROOKHAVEN CHESTER CITY,"14,258",0352,EDGMONT AV,PARKSIDE BROOKHAVEN CHESTER CITY,,,0010,0000,0040,2430,,,,,,,,,,,,
3,4.0,SR 1014 HAVERFORD RD,Winchester Rd / Karakung Rd / SR 1001,County Line Rd,"Mill & 1 1/2"" Overlay",0.38,HAVERFORD,"9,204",1014,HAVERFORD RD,HAVERFORD,,,0010,0000,0010,2008,2188.0,1014,HAVERFORD RD,Y,2026.0,HAVERFORD,,,0010_0010,0010,0010,"Reviewed, not pursued"
4,5.0,SR 1016 LAWRENCE RD,W. Chester Pk / SR 0003,Eagle Rd / SR 1005,"Mill & 1 1/2"" Overlay",1.10,HAVERFORD,"12,092",1016,LAWRENCE RD,HAVERFORD,,,0010,0000,0020,2951,2121.0,1016,LAWRENCE RD,Y,2023.0,HAVERFORD,,,0010_0020,0010,0020,"Reviewed, not pursued"
4,5.0,SR 1016 LAWRENCE RD,W. Chester Pk / SR 0003,Eagle Rd / SR 1005,"Mill & 1 1/2"" Overlay",1.10,HAVERFORD,"12,092",1016,LAWRENCE RD,HAVERFORD,,,0010,0000,0020,2951,473.0,1016,MORWOOD RD,Y,2019.0,FRANCONIA,,,0010_0020,0010,0020,"Reviewed, not pursued"
5,6.0,SR 1024 CEDAR GROVE RD,Newtown St Rd / SR 0252,Sproul Rd / SR 0320,"Mill & 1 1/2"" Overlay",2.07,MARPLE TOWNSHIP,"3,187",1024,CEDAR GROVE RD,MARPLE TOWNSHIP,,,0010,0000,0040,3300,,,,,,,,,,,,
6,7.0,SR 1030 MEDIA LINE RD,Newtown St Rd / SR 0252,W. Chester Pk / SR 0003,"Mill & 1 1/2"" Overlay",1.59,MARPLE TOWNSHIP,"5,599",1030,MEDIA LINE RD,MARPLE TOWNSHIP,,,0010,0000,0040,0804,2189.0,1030,MEDIA LINE RD,Y,2023.0,MARPLE TOWNSHIP,,,0010_0040,0010,0040,"Reviewed, not pursued"
7,8.0,SR 1044 SUGARTOWN RD,Valley Forge Rd,Chester Co. Line,"Mill & 1 1/2"" Overlay",0.63,RADNOR,"11,265",1044,SUGARTOWN RD,RADNOR,,,0010,0000,0040,0068,2232.0,1044,SUGARTOWN RD,Y,2023.0,RADNOR,,,0010_0040,0010,0040,Begin Municipal Outreach
8,9.0,SR 1050 BROOKLINE BL,Darby Rd / SR 2005,Earlington Rd / SR 1003,"Mill & 1 1/2"" Overlay",0.65,HAVERFORD,"5,271",1050,BROOKLINE BL,HAVERFORD,,,0010,0000,0010,3409,,,,,,,,,,,,
