index,project_num,SR_name,from,to,scope,miles,muni,adt,sr,name,muni1,muni2,muni3,fsegment,foffset,tsegment,toffset,GISID,	STATE_ROUTE,	LOC_ROAD_NAME_RMS,	ADMINSELECTED,	CALENDAR_YEAR,	municipality1,  municipality2,  municipality3,	segment_from_to,fseg,tseg,status
0,1.0,SR 0023 Valley Forge Rd,Valley Forge Cr / Moore Rd,Allendale Rd,"Mill & 1 1/2"" Overlay",0.77,Upper Merion,"21,430",0023,Valley Forge Rd,Upper Merion,,,0090,0000,0110,1080,2421,23,VALLEY FORGE RD,Y,2023.0,UPPER MERION,UPPER MERION,,0090_0110,0090,0110,"Reviewed, not pursued"
1,2.0,SR 0063 Main St,Orvilla Rd / SR 1004,Greenwood Rd,"Mill & 1 1/2"" Overlay",2.35,Lansdale Towamencin Montgomery,"14,241",0063,Main St,Lansdale Towamencin Montgomery,,,0252,0000,0312,1564,2519,63,MAIN ST,Y,2023.0,LANSDALE,TOWAMENCIN,MONTGOMERY,0252_0312,0252,0312,"Reviewed, not pursued"
10,3.0,SR 0320 Spring Mill Rd / South Gulph Rd / Swedeland Rd,County Line Rd / Del. Co. Line,River Rd / SR 0023,"Mill & 1 1/2"" Overlay",0.09,Upper Merion Lower Merion,"18,188 9,095",0320,Spring Mill Rd / South Gulph Rd / Swedeland Rd,Upper Merion Lower Merion,,,0031,0000,0031,0453,491,320,SOUTH GULPH RD,Y,2023.0,UPPER MERION,,,0031_0031,0031,0031,"Reviewed, not pursued"
2,3.0,SR 0320 Spring Mill Rd / South Gulph Rd / Swedeland Rd,0031/0000 County Line Rd / Del. Co. Line,0031/0453 River Rd / SR 0023,"Mill & 1 1/2"" Overlay",2.55 0.09,Upper Merion Lower Merion,"18,188 9,095",0320,Spring Mill Rd / South Gulph Rd / Swedeland Rd,Upper Merion Lower Merion,,,0010,0000,0060,2581,490,320,SWEDELAND RD,Y,2023.0,UPPER MERION,LOWER MERION,,0010_0060,0010,0060,"Reviewed, not pursued"
3,4.0,SR 1032 Upper Ridge Rd,Gravel Pk / SR 0029,Ziegler Rd / Bucks Co. Line,"2 1/2"" Binder",5.57,Green Lane Marlborough,"1,470",1032,Upper Ridge Rd,Green Lane Marlborough,,,0010,0000,0100,3222,2341,1032,UPPER RIDGE RD,Y,2023.0,GREEN LANE,MARLBOROUGH,,0010_0100,0010,0100,"Reviewed, not pursued"
4,5.0,SR 1044 Bethesda Church Rd / Adams Rd / Palm Hill Rd,Kutztown Rd / SR 1033,Gravel Pk / SR 0029,"2 1/2"" Binder",1.99,Upper Hanover,619,1044,Bethesda Church Rd / Adams Rd / Palm Hill Rd,Upper Hanover,,,0010,0000,0044,1599,2274,1044,PALM HILL RD,Y,2023.0,UPPER HANOVER,,,0010_0044,0010,0044,"Reviewed, not pursued"
5,6.0,SR 2018 Bethlehem Pk,0011/0000 Stenton Ave / SR 3003 / Paper Mill Rd / SR 2032,0041/1309 Church Rd / SR 0073,"Mill & 1 1/2"" Overlay",2.38 1.80,Whitemarch Springfield,"16,466 10,965",2018,Bethlehem Pk,Whitemarch Springfield,,,0010,0000,0050,3074,496,2018,BETHLEHEM PK,Y,2023.0,WHITEMARSH,SPRINGFIELD,,0010_0050,0010,0050,Beyond Scope of Resurfacing
6,7.0,SR 3003 Stenton Ave / Penllyn Blue Bell Pk,Norfolk Southern RR Bridge,Skippack Pk / SR 0073,"Mill & 1 1/2"" Overlay",4.02,Whitpain Whitemarsh,"11,654",3003,Stenton Ave / Penllyn Blue Bell Pk,Whitpain Whitemarsh,,,0060,0000,0130,3765,2247,3003,STENTON AV,Y,2023.0,WHITPAIN,WHITEMARSH,,0060_0130,0060,0130,"Reviewed, not pursued"
7,8.0,SR 3004 Burnside Ave / Potshop Rd / Berks Rd,Main St / SR 3009,Skippack Pk / SR 0073,"Mill & 1 1/2"" Overlay",3.22,Worcester West Norriton,"6,215",3004,Burnside Ave / Potshop Rd / Berks Rd,Worcester West Norriton,,,0010,0000,0090,2681,2345,3004,BURNSIDE AV,Y,2023.0,WORCESTER,WEST NORRITON,,0010_0090,0010,0090,Begin Municipal Outreach
8,9.0,SR 3011 Barren Hill Rd,Ridge Rd,Hector Rd / SR 3058,"Mill & 1 1/2"" Overlay",1.74,Whitemarsh,"6,290",3011,Barren Hill Rd,Whitemarsh,,,0010,0000,0040,2547,2199,3011,BARREN HILL RD,Y,2023.0,WHITEMARSH,,,0010_0040,0010,0040,"Reviewed, not pursued"
0,10.0,SR 3014 Joshua Rd /Lafayette Rd,Cedar Grove Rd / SR 3011,Morris Rd / SR 2001,"Mill & 1 1/2"" Overlay",5.37,Whitemarsh,"14,149",3014,Joshua Rd /Lafayette Rd,Whitemarsh,,,10,0,110,1887,2424,3014,JOSHUA RD,Y,2023.0,WHITEMARSH,,,0010_0110,0010,0110,Begin Municipal Outreach
1,11.0,SR 3036 Swedesford Rd,Guthrie Rd / SR 3033,Warner Rd,"Mill & 1 1/2"" Overlay",0.38,Upper Merion,"12,645",3036,Swedesford Rd,Upper Merion,,,4,0,10,770,2220,3036,SWEDESFORD RD,Y,2023.0,UPPER MERION,,,0004_0010,0004,0010,"Reviewed, not pursued"
3,12.0,SR 3041 Swedeland Rd,South Gulph Rd / SR 3039,Holstein Rd / SR 0320,"2 1/2"" Binder",0.38,Upper Merion,"2,876",3041,Swedeland Rd,Upper Merion,,,12,0,12,1988,511,3041,SWEDELAND RD,Y,2023.0,UPPER MERION,,,0012_0012,0012,0012,"Reviewed, not pursued"
4,13.0,SR 3061 Bala Ave,City Ave / SR 0001,Montgomery Ave.,"2 1/2"" Binder",0.48,Lower Merion,"2,902",3016,Bala Ave,Lower Merion,,,10,0,10,2552,2093,3016,MATSONFORD RD,Y,2022.0,WEST  CONSHOHOCKEN,LOWER MERION,,0010_0040,0010,0040,"Reviewed, not pursued"
5,14.0,SR 4031 High St,Pleasant View Rd /SR 4028,Berks Co. Line,"Mill &1 1/2"" Overlay",5.18,Pottstown West Pottsgrove Lower Pottsgrove,"15,066",4031,High St,Pottstown,West Pottsgrove,Lower Pottsgrove,310,0,420,1758,2088,4031,HIGH ST,Y,2023.0,POTTSTOWN,WEST POTTSGROVE,,0340_0420,0340,0420,Letter Received
5,14.0,SR 4031 High St,Pleasant View Rd /SR 4028,Berks Co. Line,"Mill &1 1/2"" Overlay",5.18,Pottstown West Pottsgrove Lower Pottsgrove,"15,066",4031,High St,Pottstown,West Pottsgrove,Lower Pottsgrove,310,0,420,1758,516,4031,HIGH ST,Y,2020.0,POTTSTOWN,LIMERICK,LOWER POTTSGROVE,0280_0330,0280,0330,Pending Review
6,14.0,SR 4031 High St,Pleasant View Rd /SR 4028,Berks Co. Line,"Mill &1 1/2"" Overlay",2.11,Pottstown West Pottsgrove Lower Pottsgrove,"7,656",4031,High St,Pottstown,West Pottsgrove,Lower Pottsgrove,321,0,421,1750,516,4031,HIGH ST,Y,2020.0,POTTSTOWN,LIMERICK,LOWER POTTSGROVE,0280_0330,0280,0330,Pending Review
